Startup,URL,Description,Country,Innovation Area,Focus Area,Founded,Maturity,Total Funding,Funding Stage
Wacai,wacai.com,Wacai is a Chinese FinTech company that has developed an all-in-one online personal financial management platform that provides users with wealth management services and credit solutions through an extensive portfolio of mobile apps to meet their evolving lifelong personal financial service needs.,China,Product As A Service,4. Wealth Management,2009,Emerging,"368,600,000",Series D
States Title,statestitle.com,States Title uses predictive analytics and technology to create a modern title and escrow platform.,United States,Product As A Service,1. Lending,2016,Emerging,"398,220,000",Series C
Auth0,auth0.com,"Auth0 provides a SaaS, developer-centric, identity management platform for customers to secure their web, mobile, IoT, and internal applications.",United States,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2013,Emerging,"332,700,000",Series F
Flywire,https://www.flywire.com/,"Flywire is a high-growth vertical payments company, trusted by organizations around the world to deliver on their customers’ most important moments. Unlike other companies, Flywire is proven to solve vertical-specific payment and receivables problems for organizations that deliver high-value services.",United States,Product As A Service,15. Payments Processing,2011,Mature,"263,250,000",Series E
Satispay,satispay.com,"Satispay is a smart payment platform that enables individuals to pay in affiliated stores (online and offline), exchange money with friends and set aside small amounts of money. Businesses can accept payment from customers by integrating their in-store payment application to their smartphone, tablet, and PC systems. The company also offers e-commerce plugins and customized links for online stores. Satispay service section within the app allows to pay slips and public administration fines and taxes, as well as to top up mobile phones or send gifts to friends, save money and donate to charity.",Italy,Product As A Service,2. Payments Initiation,2013,Mature,"159,640,000",Series C
Cross River Bank,crossriverbank.com,"Cross River Bank is a financial services organization that merges the established expertise and traditional services of a bank with the forward-thinking offerings of a technology company. Cross River combines a comprehensive suite of products into a banking-as-a-platform solution, encompassing lending, payments and risk management. Cross River partners with marketplace lenders and technology companies enabling them to focus on their own growth, while maintaining a strong focus on compliance.",United States,General BaaS Platforms,8. Developer Platforms,2008,Mature,"427,250,000",Series D
Tink,tink.com,"Tink enables banks to become data-driven, capture the opportunities of open banking, and deliver a more personal, intelligent financial experience to their users. Tink provides APIs as building blocks to create banking services. The company's products include account aggregation, categorization, payment initiation, and personal finance management.",Sweden,General BaaS Platforms,8. Developer Platforms,2012,Mature,"309,170,000",Series E
Behavox,behavox.com,"Behavox is an enterprise compliance software company that provides employee surveillance solutions. The company's solutions allow senior management and risk and compliance officers to detect cases of market abuse, insider threat, collusion and reckless behavior in real time.",United Kingdom,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2014,Emerging,"121,400,000",Series C
Great Rock Capital,greatrockcapital.com,"Great Rock Capital is an asset-focused commercial finance company specializing in serving the needs of middle-market companies with a wide variety of secured lending products. Great Rock Capital provides fast, flexible and creative financing solutions to maximize its customers' liquidity to enable them to better execute their business plans.",United States,Product As A Service,4. Wealth Management,2015,Emerging,"100,000,000",Series C
MX Technologies,mx.com,"MX develops omnibanking technologies that enable partners and financial institutions to break down silos and drive customer-centric banking relationships. MX brings financial management and transactional banking features together in a single native cross-platform app. The company also offers a data API that integrates with current apps, enabling an omnichannel experience.",United States,Data Aggregators,9. Open Banking,2010,Emerging,"154,130,000",Series B
Remitly,remitly.com,"Remitly is an independent digital remittance company that facilitates transfers through its global money transfer network across Africa, Asia, Central Europe, Central and South America. Its mobile app eliminates the need for the forms, codes, agents, extra time and fees typical of the traditional, century-old money transfer process.",United States,Product As A Service,15. Payments Processing,2011,Mature,"520,270,000",Series F
Amount,amount.com,"Amount helps banks and financial institutions modernize retail banking through a modern API framework that streamlines workflows and automates account originations across all products and channels. Amount360 provides banks with a 360-degree view of their customers by bringing together bank relationship data, 3rd party data sources, as well as Spring Labs blockchain network to instantly adjudicate customer risk profiles, generate mitigation strategies, and execute configurable mitigation workflows to authenticate customers.",United States,General BaaS Platforms,8. Developer Platforms,2019,Nascent,"88,500,000",Series C
Revolut Developer,revolut.com,"Revolut offers a personal money cloud, cutting hidden banking fees to zero. It allows users to exchange currencies at perfect interbank rates, send money through social networks and spend with a multi-currency card everywhere MasterCard is accepted. All this is done at the touch of a button, in a mobile application. The company's goal is to completely remove all hidden banking costs.",United Kingdom,General BaaS Platforms,8. Developer Platforms,2015,Emerging,"915,980,000",Series D
Vanco Payment Solutions,vancopayments.com,"Vanco Payment Solutions, formerly Veracity Payment Solutions, serves the trade associations, affinity partners, community banks, corporations, integrators and merchants by offering full service payment technology and solutions. The company utilizes processing networks that deliver swift and secure authorizations and offers flexible methods of payment to customers.",United States,Product As A Service,3. Cards,2007,Emerging,"90,500,000",Acquired
ClearBank,clear.bank,"ClearBank a is UK-based clearing bank. The company plans to create a new level of open competition and transparency within the U.K. financial services marketplace. ClearBank is neutral, independent and is not constrained by legacy infrastructure. Its state of the art technology transforms the ability for financial institutions to provide Current Accounts to their customers, resulting in faster and more efficient payments, while delivering complete financial inclusion. ClearBank is built on a platform specifically designed for clearing services, connected to all UK payment schemes and designed in accordance with ISO 20022.",United Kingdom,Product As A Service,2. Payments Initiation,2014,Emerging,"109,460,000",Series A
Galileo Financial Technologies,https://www.galileo-ft.com/,"Galileo Financial Technologies provides payment processing and program management solutions. Galileo provides fraud detection, security, decision-making analytics and regulatory compliance functionality combined with customized, responsive and flexible programs to accelerate the success of all payments companies.On April 7th, 2020, Galileo Financial Technologies was acquired by SoFi for $1.2B.",United States,Product As A Service,3. Cards,2000,Mature,"85,000,000",Acquired
Blend,blend.com,"Blend simplifies getting mortgages, consumer loans, and deposit accounts. The firm's Digital Lending Platform helps financial institutions increase productivity, deepen customer relationships, and deliver customer experiences. With Blend’s technology, lenders can make the journey from application to close fast and easy for consumers any time, anywhere.",United States,Product As A Service,1. Lending,2012,Emerging,"384,610,000",Series F
BlueVine,bluevine.com,"BlueVine provides flexible, working capital to small and medium-sized enterprises, giving them quick access to funds needed to purchase inventory, cover expenses, or expand operations. Specifically, the company has developed an online, cloud-based platform for invoice factoring that enables rapid advances on outstanding invoices.",United States,Product As A Service,1. Lending,2013,Mature,"766,120,000",Series F
Plastiq,plastiq.com,"Plastiq is an online payment company created to offer consumers more convenient, flexible, and secure payment options for credit card purchases. The company has been developing payment solutions that allow consumers across North America to use credit cards for payments in situations when they previously could not. Plastiq charges consumers a nominal fee for each transaction, a fee historically charged to the merchant who accepts the card, for the added flexibility to use their preferred credit cards when they choose.",United States,Product As A Service,2. Payments Initiation,2012,Mature,"158,400,000",Series D
Wealthfront,wealthfront.com,"Wealthfront is a robo-advisor offering the combination of financial planning, investment management and banking-related services exclusively through software. Anyone with $500 can open a Wealthfront investment account which offers access to the company's unique PassivePlus investment strategy and comprehensive automated financial planning service.",United States,Product As A Service,4. Wealth Management,2011,Mature,"204,500,000",Series G
Tyro,tyro.com,"Tyro (ASX: TYR) is an independent EFTPOS provider in Australia competing with the major retail banks, advocating and voicing the interests of the small business community. Tyro holds a banking authority to acquire credit and debit card transactions and does not take money on deposit.",Australia,Product As A Service,15. Payments Processing,2003,Emerging,"72,270,000",Public
solarisBank,solarisbank.de,"solarisBank is a Berlin-based fintech company that offers Banking as a Platform service. solarisBank provides a banking platform that allows mostly digital companies and financial services start-ups to access various banking service modules, which then can be integrated into their processes, websites or mobile applications.",Germany,Product As A Service,6. Other As A Service,2016,Mature,"178,460,000",Series C
Quantexa,quantexa.com,"Quantexa empowers organizations to drive better decisions from their data. Quantexa uncovers hidden customer connections and behaviors to solve challenges in financial crime, customer insight and data analytics.",United Kingdom,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2016,Emerging,"90,700,000",Series C
Bitso,https://bitso.com/,Bitso is a Mexican Bitcoin exchange that facilitates the use of Bitcoin as a mechanism for substantially improving the efficiency of the economic flow. The company aim to significantly decrease the costs and increase the speed of transactions.,Mexico,Transaction Infrastructure,11. Crypto As A Service,2014,Mature,"64,660,000",Series C
Very Good Security,verygoodsecurity.com,"Very Good Security is a modern approach to data security and compliance, enabling companies to use sensitive data without the liability or costs of data custodianship. VGS' purpose-built infrastructure lets companies retain full use of sensitive data without ever needing to see or hold the data themselves. Companies can thus rapidly adopt a comprehensive security and privacy posture, making it easy to inherit and maintain compliance certifications like PCI-DSS, SOC-2, GDPR, CCPA, HIPAA and more.",United States,Data Aggregators,10. Other Financial Data,2016,Emerging,"104,900,000",Series C
DriveWealth,drivewealth.com,"DriveWealth is a global brokerage infrastructure, offering investment capabilities, such as real-time fractional trading, and the ability for investors from around the globe to access the U.S. equities market easily and digitally. DriveWealth’s suite of APIs enables global partners (neobanks, digital advisors, online brokers and mobile online financial services companies) to access the U.S. securities market, making it possible for these companies to build any investment experience they design.",United States,Product As A Service,4. Wealth Management,2012,Emerging,"87,710,000",Series C
Pleo,pleo.io,"Pleo offers smart payment cards for employees enabling them to buy the things they need for work, all while keeping the companies in control of spending. The company pairs the cards with software/mobile apps to automatically match receipts and track all spending company-wide in real-time, with analytics and accounting software integrations to boot.",Denmark,Product As A Service,3. Cards,2015,Emerging,"78,800,000",Series B
Deposit Solutions,deposit-solutions.com,"Deposit Solutions provides an open banking platform for deposits connecting banks and depositors. The platform allows banks to offer attractive third party deposit products to their own customers through their existing accounts. As a result, banks looking for funding can gather deposits from new markets and client groups without having to set up and operate their own retail infrastructure, and depositors can access best-in-class deposit offers without having to open a new account at another bank.",Germany,Product As A Service,4. Wealth Management,2011,Mature,"198,900,000",Series B
Ayasdi,ayasdi.com,"Ayasdi combines machine intelligence with an application framework to create operational solutions for Global 500 corporations, governments, healthcare organizations and scientific research institutions around the world. Ayasdi's machine intelligence platform combines scalable compute with a patented framework for machine learning, topological data analysis to enable data scientists, and business to be more productive. Ayasdi's Envision application framework facilitates the rapid development of business-specific, intelligent applications.",United States,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2008,Emerging,"97,880,000",Series C
Petal,petalcard.com,Petal provides credit cards to young people and others who lack a credit history. Petal's cards link to a mobile app which enables users to track what they spend and what they can afford.,United States,Data Aggregators,9. Open Banking,2016,Emerging,"437,350,000",Series C
defi SOLUTIONS,https://defisolutions.com/,"defi SOLUTIONS provides a solution that fuels auto lenders with the ability to grow and compete efficiently. Using defi's technology, lenders can increase applications and fundings. The company's browser-based Loan Origination System (LOS) is completely configurable and easy to implement. The defi system provides the flexibility needed to manage the application lifecycle from a single, SaaS platform. The defi LOS is affordable, scalable and easily accessible from mobile devices.",United States,Product As A Service,1. Lending,2012,Mature,"55,530,000",Series C
AiDEXA,aidexa.it,"Aidexa is a fintech company offering an AI-powered and data-driven challenger bank. The company aims to make life easier for those who do business, taking advantage of technologies and opportunities offered by open banking.",Italy,Data Aggregators,9. Open Banking,2020,Nascent,"53,150,000",Seed
ComplyAdvantage,complyadvantage.com,"ComplyAdvantage helps firms make intelligent choices when complying with regulations relating to sanctions, money laundering (AML), terrorist financing (CFT), bribery, and corruption. Its database of individuals, organizations, and associated entities provides real-time insight into financial crime risks. ComplyAdvantage uses artificial intelligence, machine learning, and big data analytics combined with a tailored risk-based approach to help firms not only to manage their compliance and risk obligations but to prevent the occurrence of financial crime.",United Kingdom,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2014,Mature,"88,200,000",Series C
Feedzai,feedzai.com,"Feedzai leverages AI, machine learning technology to provide omnichannel fraud prevention solutions for banks, payment providers, and retailers transacting in virtually every country in the world to manage risks associated with banking and eCommerce.",United States,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2009,Mature,"77,800,000",Series C
Nova Credit,novacredit.com,Nova Credit provides lenders with international consumer credit data so that they can underwrite immigrants. Nova Credit is a cross-border credit reporting agency focused on ways lenders provide loans to immigrants by enabling them to access and use overseas data through the Nova Credit Passport.,United States,Product As A Service,1. Lending,2016,Nascent,"68,370,000",Series B
Starling Bank BaaS,starlingbank.com,"Starling is a United Kingdom-based, mobile-only bank offering personal, joint, and business accounts. Starling Bank lets people visualize and manage their finances in real-time, all from one app.",United Kingdom,General BaaS Platforms,8. Developer Platforms,2014,Emerging,"459,690,000",Series E
Trulioo,trulioo.com,"Trulioo provides secure access to reliable, independent and trusted data sources worldwide to verify consumers and business entities online. Trulioo's marketplace of global identity data and services, GlobalGateway, helps organizations comply with Anti-Money Laundering (AML) and Customer Due Diligence (CDD) requirements by automating Know Your Customer (KYC) and Know Your Business (KYB) workflows.",Canada,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2011,Mature,"75,740,000",Series C
Kyriba,kyriba.com,"Kyriba offers cloud-based Proactive Treasury Management solutions and delivers cash management technology to CFOs, Treasurers, and Financial Professionals. The company's secure and scalable SaaS treasury, bank connectivity, risk management and supply chain finance solutions enable  organizations to drive corporate growth, obtain critical financial insights, minimize fraud, and ensure compliance.",United States,Product As A Service,6. Other As A Service,2000,Mature,"156,510,000",Series E
GTreasury,gtreasury.com,GTreasury provides treasury management solutions. GTreasury's solutions centralize all incoming and outgoing banking activities and track all financial instrument activities. This gives GTreasury practitioners real-time insight and access into their global liquidity.,United States,Product As A Service,6. Other As A Service,1986,Emerging,"42,000,000",Series B
Thought Machine,thoughtmachine.net,"Thought Machine aims to change banking through its Vault software. Vault can run any type of banking product, from mortgages to current accounts. It has a workflow engine that defines how the bank operates. All data runs in real-time within the system, meaning data analytics and regulatory reporting can be fully automated. Customer apps and APIs create the ability to have fully automated customer interaction.",United Kingdom,Other,16. Something Else,2014,Emerging,"148,050,000",Series B
Extend,extend.com,"Extend provides an easy way for any merchant to offer extended warranties - generating revenue, increasing purchase conversion, and dramatically improving the customer experience.",United States,Product As A Service,5. Insurance,2017,Nascent,"57,100,000",Series B
Alloy,alloy.co,Alloy is a service for reducing false positives during the KYC process. Alloy's API and dashboard helps financial institutions integrate multiple sources of data and custom CIP rules to both increase the number of customers that can be successfully onboarded without manual review and improve transparency and efficiency into the process.,United States,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2015,Nascent,"55,920,000",Series B
Anchorage,https://anchorage.com/,"Anchorage is a digital asset custodian engineered to provide security and the benefits of asset accessibility, including capturing yield from staking and inflation, voting, auditing proof of existence, and fast transactions.",United States,Transaction Infrastructure,11. Crypto As A Service,2017,Nascent,"57,000,000",Series B
Apex Fund Services,apexfundservices.com,"Apex Fund Services is an independent fund administration company. The company delivers global fund administration solutions to investment managers investing in traditional and alternative assets (onshore and offshore investment funds such as mutual funds, UCITs, SICAVs, fund of funds, private equity, real estate).",United States,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2003,Emerging,"70,000,000",Series B
Blockchain,https://www.blockchain.com/,"Blockchain is a software platform for digital assets and a bitcoin wallet provider, where users can authenticate and transact immediately and without intermediaries.",United Kingdom,Transaction Infrastructure,11. Crypto As A Service,2011,Nascent,"70,500,000",Series B
Credorax,credorax.com,"Credorax, founded in 2008, provides online payment processing and acquiring bank services to a range of online merchants worldwide. Credorax's Smart Acquiring solution is built from the ground up to transcend many of the challenges faced by traditional acquirers forced to rely on legacy platforms originally used for Card Present (Point of Sale) acquiring.",United States,Product As A Service,15. Payments Processing,2007,Mature,"80,000,000",Series C
Fantom Foundation,https://www.fantom.foundation/,FANTOM is a Directed Acyclic Graph-based smart contract platform that solves the issue of scalability and confirmation time of the existing blockchain technology.,South Korea,General BaaS Platforms,8. Developer Platforms,2018,Nascent,"40,000,000",Undisclosed
Upgrade,upgrade.com,"Upgrade is an online lending platform that combines personal loans with free credit monitoring, helping users secure more affordable credit in the long run.",United States,Product As A Service,1. Lending,2016,Mature,"177,500,000",Series D
CurrencyCloud,currencycloud.com,"Currencycloud is a cloud-based solution for international payments. The company has packaged its global payments infrastructure - finding exchange rates, transferring funds between two end points and meeting local compliance at both ends - by way of flexible, developer-friendly APIs. Its APIs are used by digital and payment companies to build products that allow businesses to pay money to each other around the world; or to enable payouts to individuals.",United Kingdom,Product As A Service,15. Payments Processing,2012,Mature,"153,970,000",Series E
Modern Treasury,moderntreasury.com,"Modern Treasury offers a way for businesses to swap out the homegrown infrastructure and excel spreadsheets they were using to manage payments. Businesses use Modern Treasury software to initiate, monitor, and reconcile payments.",United States,Product As A Service,6. Other As A Service,2018,Nascent,"48,120,000",Series B
Appway,appway.com,"Appway is a Switzerland-based, software development company that provides a platform allowing organizations to develop and operate scalable and reliable business applications.",Switzerland,Product As A Service,4. Wealth Management,2003,Mature,"37,000,000",Series B
Railsbank,railsbank.com,Railsbank is a banking and compliance platform that connects together a global network of partner banks with companies who want API access to banking.,United Kingdom,General BaaS Platforms,8. Developer Platforms,2015,Emerging,"48,340,000",Series B
CashFree,cashfree.com,"CashFree enables users to pay through mobile wallet, in cash or online for the products or services delivered at their doorstep.",India,Product As A Service,2. Payments Initiation,2015,Emerging,"40,920,000",Series B
Brightside Benefit,https://www.gobrightside.com/,"Brightside is a holistic solution for the financial care of employees.  By combining expertise from a dedicated Financial Assistant, smart technology, and financial products, the firm's software platform engages employees, builds trust, and reduces financial stress to boost productivity and retention.",United States,Product As A Service,6. Other As A Service,2017,Nascent,"39,230,000",Series A
Socure,socure.com,"Socure specializes in creating high-assurance, digital identity verification technology. The company's predictive analytics platform applies artificial intelligence and machine-learning techniques with online/offline data intelligence from email, phone, address, IP, social media, and the broader Internet to authenticate identities in real-time.",United States,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2012,Mature,"98,250,000",Series D
Vidado,vidado.ai,"Vidado offers an AI platform that identifies, digitizes, validates, and enriches data more efficiently than traditional OCR technologies or humans, unlocking new ways to operationalize how an organization processes traditional, paper-driven workflows. The result is that customers achieve extraordinary success: improved straight-through processing, larger datasets for analytics, reduced operational costs, and improvements in robotic process automation.On March 24th, 2020, Vidado was acquired by SS&C Technologies. Terms of the transaction were not disclosed.",United States,Product As A Service,5. Insurance,2011,Emerging,"49,020,000",Series C
Flutterwave,https://flutterwave.com/gb/,"Flutterwave is a global payments technology company building digital payments infrastructure, with a focus on the African market. The company enables digital transactions across Africa, between Africa and other regions.",United States,Product As A Service,15. Payments Processing,2016,Nascent,"54,290,000",Series B
Synapse,synapsefi.com,"Synapse develops a platform that helps banks and developers work together. The technology involves developer-facing APIs that allow companies to connect with banks to offer services, and also bank-facing APIs that allow banks to automate and extend back-end operations.",United States,General BaaS Platforms,8. Developer Platforms,2014,Nascent,"50,000,000",Series B
Bond Financial Technologies,bond.tech,"Bond Financial Technologies offers an ecosystem of banks, fintechs, and brand partners around its API platform. It aims to provide software that lets partner brands to offer products such as credit cards and debit cards and aims to have its software integrate with a network of banks that can handle regulatory obligations on behalf of its customers. The company was founded by Roy Ng, the former COO of Twilio, the cloud messaging firm.",United States,General BaaS Platforms,8. Developer Platforms,2019,Nascent,"42,000,000",Series A
Finix,https://www.finixpayments.com/,"Finix Payments is a payment facilitator for merchants, banks, and other payment institutions. Offers white label payment gateway APIs, modular dashboards for back-end analytics, push payouts using Visa Direct and MasterCard Send. It also offers merchant KYC and underwriting for payment & financial institutions and tokenization for data security.",United States,Product As A Service,15. Payments Processing,2015,Nascent,"96,000,000",Series B
Open,bankopen.co,"Open provides banking services to startups and entrepreneurs. The platform allows users to have regular bank account features, such as payments, balance and transaction list. Additionally, the platform integrates with other business systems to provide everything in one single place. It is commonly referred to as a neo bank.",India,General BaaS Platforms,8. Developer Platforms,2018,Nascent,"37,400,000",Series B
Ramp Financial,ramp.com,Ramp offers a credit card for businesses. Ramp also indexes current market prices for popular business tools and notifies the companies if they are overpaying.,United States,Product As A Service,3. Cards,2019,Nascent,"62,000,000",Series A
Silverfin,silverfin.com,"Silverfin offers a connected accounting platform to help businesses stay on top of their financial data. Silverfin's platform plugs into popular accounting software and other financial data sources to help finance departments, accountancy firms and consultants, such as external tax specialists, get much better real-time visibility of a company's financial data.",Belgium,Data Aggregators,10. Other Financial Data,2013,Emerging,"34,500,000",Series B
Fast,fast.co,"Provider of automatic data filling checkout solution for businesses. The solution helps the customer to autofill the details in the checkout processes including name, address, phone number, etc. It also provides a dashboard to manage all the purchases, track the shipment, handle returns, and more.",United States,Product As A Service,2. Payments Initiation,2019,Emerging,"32,500,000",Series A
Finicity,finicity.com,"Finicity helps individuals, families and organizations make smarter financial decisions through safe and secure access to fast, high-quality data. The company, which provides financial data APIs, credit decisioning tools and financial wellness solutions, partners with influential financial institutions and fintech providers alike to give consumers a leg up in a complicated financial world.On June 23rd, 2020, Finicity was acquired by Mastercard at a valuation of $825M.",United States,Data Aggregators,9. Open Banking,2000,Mature,"71,060,000",Series C
Payrix,payrix.com,"Payrix is a full-service payment facilitator platform that provides end-to-end solutions to simplify payment facilitation for marketplaces, ISOs, and SaaS providers.",United States,General BaaS Platforms,8. Developer Platforms,2015,Nascent,"50,000,000",Series A
Moov,moov.io,"Moov is a portable, extensible, open-source platform for embedding banking services within any application.",United States,General BaaS Platforms,8. Developer Platforms,2020,Nascent,"32,500,000",Series A
Five Degrees,fivedegrees.com,"Five Degrees is a digital banking technology provider with offices in the Netherlands, Iceland, Luxembourg, Portugal and Serbia. As its core business, Five Degrees provides a digital banking platform, offering banks and other financial institutions customer-centric banking systems.",Netherlands,Product As A Service,6. Other As A Service,2010,Emerging,"37,520,000",Series C
YouTrip,you.co,YouTrip is a mobile financial platform that offers a multi-currency mobile wallet with a contactless Mastercard to make payments worldwide without having to incur any fees.,Singapore,Product As A Service,3. Cards,2018,Nascent,"25,500,000",Seed
Circle Internet Financial,https://www.circle.com/en/,"Circle enables companies to run an internet business using new standards for money powered by USD Coin (USDC), a stablecoin backed by US dollars, which are held in reserve by regulated financial institutions. The tokens themselves are also issued by regulated financial institutions, and every token can be redeemed for one dollar — effectively providing a price-stable cryptocurrency.",United States,Transaction Infrastructure,11. Crypto As A Service,2013,Nascent,"272,500,000",Undisclosed
Tractable,https://tractable.ai/,"Tractable develops AI for accident and disaster recovery. Its AI solutions use photos to automate damage appraisal, allowing insurers to improve accuracy, reduce turnaround time, and deliver a revamped customer claims experience. Tractable has processed hundreds of thousands of auto insurance claims, positively impacting people’s lives across Europe, North America and Asia.",United Kingdom,Product As A Service,5. Insurance,2014,Mature,"59,830,000",Series C
TrueLayer,truelayer.com,"TrueLayer offers developers an easy way to access the bank data they need to build financial apps and services, helping startups and banks alike to drive products in financial services. TrueLayer supports account verification, KYC processes, and transactional data for account aggregation, credit scoring and risk assessment.",United Kingdom,Data Aggregators,9. Open Banking,2016,Mature,"71,800,000",Series C
Moven,moven.com,"Moven, formerly Movenbank, is a mobile money service that helps users spend, save, and live smarter. Users can load, transfer, spend, and track money using mobile devices. The company's tools provide users with instant feedback on transactions and spending patterns.",United States,Data Aggregators,9. Open Banking,2010,Emerging,"47,410,000",Series B
The Credit Junction,thecreditjunction.com,"The Credit Junction is a technology-enabled, online marketplace lending platform focused on providing working capital and supply chain financing solutions to industrial and manufacturing small and mid-size enterprises.",United States,Product As A Service,1. Lending,2013,Emerging,"229,560,000",Series D
Wagestream,wagestream.co.uk,"Wagestream is an employee financial wellness platform that allows workers to access earned income at any time during the monthly pay cycle without impacting cash-flow, payroll or timekeeping processes.",United Kingdom,Product As A Service,4. Wealth Management,2018,Nascent,"79,510,000",Series B
SEBA Bank,seba.swiss,"SEBA Bank offers cryptocurrency services to companies and investors while extending traditional banking services to firms. The company also aims to provide corporate financing, including advising on initial coin offerings, and other cryptocurrency and banking services to traditional corporate clients and cryptocurrency groups.",Switzerland,Transaction Infrastructure,11. Crypto As A Service,2018,Emerging,"126,480,000",Series B
Coinbase,coinbase.com,"Coinbase is a bitcoin wallet and platform where merchants and consumers can transact with digital currencies like bitcoion, ethereum, and litecoin.",United States,Transaction Infrastructure,11. Crypto As A Service,2012,Emerging,"538,670,000",Series E
BeeTech,beetech.global,"BeeTech is an infrastructure provider of solutions for the cross border market. The Open Payments API allows international companies  to access the Brazilian market and expand their offers. National companies that do not possess a core business for cross border payments, but depend on it to perform in their field, can plug into the FX-as-a-service API in order to optimize their business and bring a more friction less experience for their customers. Remessa Online is a BeeTech product for the final users, both individuals or companies, that need to do cross border payments and remittances.",Brazil,General BaaS Platforms,8. Developer Platforms,2016,Emerging,"26,190,000",Series A
Stash,stashinvest.com,"Stash is a mobile app offering users a way to invest based on goals, interests and beliefs. Stash helps people start investing with small sums, gain investing confidence gradually, and build smart financial habits for the long-term.",United States,Product As A Service,4. Wealth Management,2015,Mature,"314,250,000",Series F
AccessFintech,accessfintech.com,"AccessFintech is a risk management service for banks and buyside firms. The service helps firms track the trade lifecycle and get a sense of prioritized risk, across an increasing number of systems. AccessFintech brings together fintech providers and in-house technology, orchestrating the interaction of the distributed providers and creating a single visual display of the risk of financial transactions in a global shareable view.",United States,Data Aggregators,10. Other Financial Data,2016,Nascent,"37,500,000",Series B
Argyle Systems,argyle.io,Argyle provides a single API that allows businesses to access data pulled from users in the gig economy.,United States,Data Aggregators,10. Other Financial Data,2018,Nascent,"22,640,000",Series A
